"Word","Valence_lang","Arousal_lang","Dominance_lang","Valence_fam","Arousal_fam","Dominance_fam","Valence_mean","Arousal_mean","Dominance_mean"
"humorous",6.83741666666667,4.97816666666667,6.12675,6.76452380952381,4.98380952380952,6.07357142857143,6.76452380952381,4.98380952380952,6.07357142857143
"curious",6.41307692307692,4.91769230769231,5.81384615384615,6.29666666666667,4.88333333333333,5.73166666666667,6.29666666666667,4.88333333333333,5.73166666666667
"add",5.71709791380899,3.5695656119425,5.83989164988707,5.73935223536819,3.56342488586385,5.82207316535362,5.73932314320949,3.5634180216227,5.82208463689496
"associate",5.96120242626904,3.66309841791374,5.95136525260838,5.96169029421024,3.66303110732982,5.95134145669202,5.96165392901187,3.66302252702837,5.9513557961187
"combine",5.64497072385787,3.52536825717769,5.57622477083593,5.60535223536819,3.46842488586385,5.64207316535362,5.60532314320949,3.4684180216227,5.64208463689496
"bring together",5.7,3.568,5.8,5.7,3.568,5.8,5.7,3.568,5.8
"comic",7.65916666666667,5.25666666666667,6.55333333333333,7.6375,5.2325,6.49,7.6375,5.2325,6.49
"comedian",7.65916666666667,5.25666666666667,6.55333333333333,7.6375,5.2325,6.49,7.6375,5.2325,6.49
"fissure",4.16651851851852,4.26934074074074,4.61135555555556,4.06809523809524,4.29580952380952,4.7535,4.06809523809524,4.29580952380952,4.7535
"crack",4.11848765432099,4.44750617283951,4.76140740740741,4.07571428571429,4.47998319327731,4.75952941176471,4.07571428571429,4.47998319327731,4.75952941176471
"cleft",4.18577777777778,4.37751111111111,4.61553333333333,4.17171428571429,4.38097142857143,4.6382,4.17171428571429,4.38097142857143,4.6382
"gap",4.08777777777778,4.26111111111111,4.58333333333333,3.94714285714286,4.29571428571429,4.81,3.94714285714286,4.29571428571429,4.81
"gorge",4.08777777777778,4.26111111111111,4.58333333333333,3.94714285714286,4.29571428571429,4.81,3.94714285714286,4.29571428571429,4.81
"increase",7.22,5.1,5.44,7.22,5.1,5.44,7.22,5.1,5.44
"increment",7.22,5.1,5.44,7.22,5.1,5.44,7.22,5.1,5.44
"look at",5.768125,3.433125,6.03,5.80375,3.465,6.00625,5.73714285714286,3.40285714285714,6.00714285714286
"observe",5.88565340909091,3.38588068181818,6.20954545454545,5.907375,3.4165,6.186625,5.83634920634921,3.35809523809524,6.14190476190476
"behold",5.95875,3.664375,6.00125,5.90181818181818,3.57090909090909,5.99363636363636,5.76375,3.4475,5.99125
"remark",5.84395574534162,3.57671972049689,6.20515527950311,5.83453571428571,3.57471428571429,6.22203571428571,5.82502040816327,3.56583673469388,6.22216326530612
"mention",5.83060057471264,3.75763505747126,6.14510344827586,5.87455188679245,3.739474393531,6.16073113207547,5.86503658067,3.73059684251059,6.16085868309588
"note",5.55565869565217,3.71037173913043,5.89227826086957,5.394575,3.6907,5.815825,5.38791428571429,3.68448571428571,5.81591428571429
"lacrymal fluid",4.23,4.66999999999999,4.82,4.23,4.67,4.82,4.23,4.67,4.82
