WordWeight;FamilyWeight;LanguageWeight;from_word;to_word
6;5;5;pointed;end (of space)
3;3;3;pointed;sour
11;4;10;pointed;top
5;3;5;pointed;tip (of object)
17;5;14;edge;top
52;15;50;edge;side
25;9;25;edge;end (of space)
7;3;7;edge;end (of time)
62;15;60;edge;shore
15;5;15;edge;corner
28;8;28;edge;lip
22;11;18;edge;boundary
19;11;19;edge;mouth
5;4;5;edge;beside
3;3;3;edge;face
3;3;3;edge;tooth
37;10;35;edge;fringe
6;4;6;edge;shore of lake
4;3;4;edge;border
27;7;27;side;half
15;5;15;side;part
8;3;8;side;country
5;3;5;side;face
5;3;5;side;rib
9;5;9;side;shore
5;4;4;side;boundary
9;7;9;side;wall (of house)
22;14;20;side;beside
3;3;3;side;behind
16;9;15;near;short
93;11;84;near;beside
3;3;3;near;neighbour
4;4;4;near;soon
3;3;3;near;sun
5;3;4;east;dawn
4;3;4;west;evening
17;12;17;north;south
3;3;3;north;bottom
6;4;6;north;up
17;3;17;south;midday
5;3;4;south;right
7;5;7;grow;plant (something)
9;4;8;grow;be born
36;7;36;grow;big
13;5;13;grow;be alive
13;4;13;grow;increase
3;3;3;grow;raise (a child)
13;10;13;measure;try
24;16;24;measure;count
6;5;6;measure;taste (something)
3;3;3;measure;guess
4;3;4;measure;painting
6;5;6;measure;imitate
13;6;13;big;fat (obese)
64;27;60;big;wide
17;12;17;big;long
33;16;33;big;thick
45;23;41;big;many
20;5;20;big;loud
13;8;12;big;old
8;5;5;big;mighty or powerful or strong
22;11;20;big;tall
4;4;4;big;enough
15;3;15;big;fat (organic substance)
6;3;6;big;father
10;4;8;big;old (aged)
124;30;115;small;few
44;24;42;small;narrow
25;13;25;small;short
5;3;5;small;egg
4;4;4;small;son
21;4;20;small;child
6;5;6;small;some
11;9;11;small;child (young human)
9;7;8;small;baby
5;3;5;small;thin
29;12;28;small;young
14;6;14;small;thin (of shape of object)
4;4;4;long;wide
70;19;68;long;far
3;3;3;long;many
5;3;5;long;straight
121;39;113;long;tall
36;9;36;long;for a long time
9;8;9;long;deep
5;3;4;long;length
11;10;11;tall;deep
28;4;28;tall;loud
4;3;4;tall;for a long time
3;3;3;tall;top
10;5;10;short;few
5;5;5;short;wide
4;4;4;short;shallow
6;3;5;short;round
17;14;16;wide;thick
11;6;10;wide;flat
12;5;11;narrow;thin
6;6;6;narrow;few
39;26;37;narrow;thin (of shape of object)
5;5;5;narrow;thin (slim)
5;3;5;narrow;fine or thin
9;4;9;thick;heavy
9;4;9;thick;dense
11;4;11;thick;fat (obese)
5;5;5;thick;fat (organic substance)
3;3;3;thick;mother's brother
4;4;4;thick;full
10;8;10;thin (of shape of object);shallow
6;5;5;thin (of shape of object);weak
5;5;5;thin (of shape of object);flat
24;7;23;thin (of shape of object);fine or thin
11;5;11;thin (of shape of object);thin (slim)
6;3;6;deep;difficult
5;4;5;deep;bottom
4;4;4;deep;inside
11;3;11;deep;dark
3;3;3;shallow;dry
7;4;7;shallow;flat
48;12;48;flat;smooth
21;8;21;flat;straight
4;3;4;flat;similar
8;4;8;flat;correct (right)
3;3;3;flat;plate
5;3;5;flat;board
4;4;4;flat;floor
3;3;3;flat;field
25;9;25;straight;right
185;24;181;straight;correct (right)
21;7;21;straight;smooth
9;5;9;straight;faithful
9;7;9;straight;true
11;4;11;straight;good
3;3;3;straight;name
3;3;3;straight;hard
7;5;7;crooked;hook
12;3;12;crooked;wrong
49;14;44;crooked;bend
4;3;4;crooked;lame
3;3;3;crooked;mistake
53;18;49;hook;fishhook
5;3;5;hook;anchor
9;6;8;hook;pitchfork
4;3;4;hook;needle (for sewing)
4;4;4;hook;peg
8;6;8;round;wheel
59;22;58;round;circle
20;15;20;round;ball
3;3;3;round;egg
28;10;28;circle;wheel
14;5;14;circle;ring
17;11;17;circle;ball
10;6;10;line;fishing line
12;9;12;line;thread
12;7;12;line;rope
12;4;12;line;furrow
40;10;37;line;stroke (of pen)
85;4;79;hole;bore
4;4;4;hole;hollow out
5;4;4;hole;grave
11;10;10;hole;ditch
6;5;6;hole;inside
7;3;7;hole;window
5;3;5;hole;mouth
3;3;3;hole;nostril
6;4;5;hole;spring or well
4;3;4;hole;trap (pitfall)
4;3;4;hole;bury
11;6;11;hole;lair
7;5;7;hole;pit (pothole)
4;4;4;similar;manner
19;11;18;similar;seem
4;3;3;similar;if
6;5;6;similar;same
7;3;7;change;come back
19;6;16;change;change (become different)
