FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
1;3;crop;cultivation;0,615;0,26;0,5;0,625;0,324;0,462
1;3;crop;tillage;0,615;0,26;0,5;0,552;0,591;0,54
2;2;breeding;cultivation;0,667;0,481;0,61;0,625;0,324;0,462
2;2;breeding;tillage;0,667;0,481;0,61;0,552;0,591;0,54
1;2;civilization;culture;0,823;0,452;0,839;0,753;0,304;0,675
3;10;feather;pen;0,677;0,208;0,144;0,622;0,194;0,25
2;2;feather;plumage;0,677;0,208;0,144;0,656;0,286;0,284
2;2;plumage;plume;0,656;0,286;0,284;0,469;0,323;0,375
2;2;feather;plume;0,677;0,208;0,144;0,469;0,323;0,375
2;2;cyclone;tornado;0,416;0,796;0,673;0,26;0,896;0,784
4;4;cyclone;typhoon;0,416;0,796;0,673;0,323;0,796;0,697
2;2;dam;weir;0,25;0,553;0,394;0,375;0,385;0,363
1;3;plug;socket;0,531;0,356;0,473;0,583;0,469;0,377
2;4;dam;dyke;0,25;0,553;0,394;0,438;0,396;0,566
2;4;dam;levee;0,25;0,553;0,394;0,52;0,324;0,49
1;4;damage;detriment;0,059;0,726;0,403;0,281;0,538;0,263
1;4;damage;injury;0,059;0,726;0,403;0,049;0,769;0,287
1;2;damage;wound;0,059;0,726;0,403;0,15;0,717;0,31
2;2;damage;loss;0,059;0,726;0,403;0,062;0,567;0,211
1;2;damage;harm;0,059;0,726;0,403;0,073;0,679;0,423
1;3;debt;guilt;0,204;0,598;0,336;0,208;0,567;0,206
1;2;debt;liability;0,204;0,598;0,336;0,646;0,5;0,802
1;3;choice;conclusion;0,745;0,52;0,664;0,615;0,377;0,659
1;3;conclusion;pick;0,615;0,377;0,659;0,5;0,464;0,525
1;3;decontamination;disinfection;0,611;0,538;0,573;0,517;0,556;0,473
2;3;decree;order;0,552;0,478;0,746;0,78;0,295;0,814
1;2;decree;ordinance;0,552;0,478;0,746;0,615;0,452;0,776
2;3;decree;regulation;0,552;0,478;0,746;0,542;0,425;0,667
2;3;deer;roe;0,583;0,375;0,292;0,49;0,382;0,398
4;4;deer;reindeer;0,583;0,375;0,292;0,592;0,336;0,396
4;4;caribou;deer;0,562;0,452;0,342;0,583;0,375;0,292
1;4;demand;wish;0,292;0,673;0,5;0,771;0,583;0,647
1;3;demand;question;0,292;0,673;0,5;0,51;0,41;0,509
1;4;desert;desolate;0,469;0,279;0,389;0,104;0,32;0,228
