FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
5;13;human;individual;6,45;3,62;5,71;6,17;3,47;6,86
3;11;human;male;6,45;3,62;5,71;6,91;4,5;5,89
3;4;human;humanity;6,45;3,62;5,71;6,78;4,35;5,95
3;4;human;mankind;6,45;3,62;5,71;6,59;4,89;5,14
3;4;human;humankind;6,45;3,62;5,71;6,95;4,83;5,59
2;3;manpower;personnel;6;4,32;5,92;5,37;3,67;5,45
1;3;dung;manure;3,86;3,45;4,65;3,19;4,15;4,51
1;2;crisp;short;5,23;3,95;6,14;5,67;2,62;4,39
1;2;curt;short;4,05;3,2;4,32;5,67;2,62;4,39
1;2;charter;map;5,55;3,84;5,74;5,81;3,95;5,79
1;2;map;menu;5,81;3,95;5,79;6,3;4,17;6,29
1;2;marker;tracer;5,8;4,05;5,48;5,05;3,86;5,28
1;6;flux;mix;4,17;4,18;4,79;5,71;2,86;5,56
1;4;model;pattern;6,38;3,9;6,53;5,53;3,14;5,39
2;4;landmark;monument;6;4,15;5,5;6,24;2,82;5,45
1;2;mountain;pot;6,65;4,12;6,18;5,81;4;6
1;2;batch;mountain;5,57;3,29;5,43;6,65;4,12;6,18
2;3;hill;mountain;5,41;3,15;6,95;6,65;4,12;6,18
1;4;mud;mush;5,06;3,19;4,27;4,05;3,21;4,79
1;3;noise;row;3,36;5,75;5,47;5,48;3,39;6,06
1;2;nuisance;trouble;3;4,7;3,79;2,87;5,59;4,35
1;2;discomfort;nuisance;2,84;4,43;3,55;3;4,7;3,79
1;2;pain;trouble;2;6,27;3,47;2,87;5,59;4,35
1;2;discomfort;pain;2,84;4,43;3,55;2;6,27;3,47
1;2;annoyance;trouble;2,95;4,1;3,45;2,87;5,59;4,35
1;2;annoyance;discomfort;2,95;4,1;3,45;2,84;4,43;3,55
2;4;desk;office;5,56;2,45;5,72;4,54;3,05;5,16
2;2;office;study;4,54;3,05;5,16;5,78;2,55;5,33
1;4;opinion;thought;6,38;4,53;6,28;6,76;4,16;6,15
1;4;stance;thought;6,1;2,86;6,14;6,76;4,16;6,15
2;4;belief;stance;6,14;3,95;7,18;6,1;2,86;6,14
2;4;presumption;stance;4,42;4,5;5,69;6,1;2,86;6,14
1;2;persuasion;stance;5,67;5,16;5,73;6,1;2,86;6,14
1;2;asset;characteristic;7,25;4,43;6;5,57;4,24;5,37
2;2;packaging;shell;5,15;3,3;5,36;6,05;3,23;5,62
1;2;map;paper;5,81;3,95;5,79;5,42;3,52;5,64
2;5;involvement;participation;5,81;2,95;6,41;6,15;3,55;6,3
1;4;penalty;sentence;2,8;3,89;3,7;5,13;3,09;6,53
1;3;match;phosphorus;5,61;3,05;6,06;4,43;3,91;4,33
2;14;photo;photography;6,58;4,6;6,05;6,67;3,96;6,2
1;2;physics;tangible;5,53;4,27;5,16;5,63;4,18;6,56
1;2;corporeal;physics;4;3,5;4,42;5,53;4,27;5,16
1;2;bodily;physics;4,74;3,71;4,29;5,53;4,27;5,16
1;2;plain;plane;5,08;2,68;5,56;5,72;4,91;5,07
2;2;program;project;5,5;3,9;6,53;5;4,55;7,63
3;5;endowment;present;6;3,67;6,15;6,85;4,82;6,65
2;2;poison;toxin;2,16;6,01;3,38;2,42;5,52;3,45
1;3;poison;venom;2,16;6,01;3,38;2,93;5,81;3,92
4;5;police;police officer;4,59;5,95;3,44;4,67;5,48;4,05
4;20;policy;politics;3,77;3,3;6,11;4;3,44;3,42
1;3;policy;political;3,77;3,3;6,11;4,35;4;4,08
2;6;pond;pool;6,32;2,32;5,95;6,78;3,65;6,39
1;5;population;stock;4,81;3,96;4,24;5,5;3,5;4,62
1;2;fowl;poultry;4,57;4,05;5,8;5,67;3,95;5,67
2;2;prize;reward;8;5,5;6,16;7,47;5,58;6,33
2;2;bonus;premium;8,05;6,9;6,19;6,9;5,5;5,86
1;2;preserve;tin;4,9;3;6;4,95;2,73;5,54
1;2;conserve;tin;5,9;3,75;5,86;4,95;2,73;5,54
1;2;boar;pig;5;3,08;4,68;4,83;3,68;5,04
1;2;boar;hog;5;3,08;4,68;4,55;2,9;4,68
1;2;coercion;pressure;3,5;4,33;5,12;3,56;4,48;4,4
1;2;compulsion;pressure;3,95;4,89;3;3,56;4,48;4,4
1;2;domain;province;5,05;3,36;6,92;5,14;3,33;5,18
1;3;acquisition;purchase;5;4,36;5,93;6,47;5,1;6,64
1;3;acquisition;buy;5;4,36;5,93;6,82;4,29;6,78
2;2;career;quarry;6,11;4,24;6,17;4,74;3,57;5,74
1;5;commendation;recommendation;6,19;4,71;4,75;6,1;3;6,22
2;6;discount;reduction;5,78;4,62;5,86;5;3;5,25
2;6;decline;reduction;3,19;3,6;3,71;5;3;5,25
1;2;reflection;study;5,7;4,1;5,65;5,78;2,55;5,33
1;2;meditation;reflection;7,21;2,5;7,35;5,7;4,1;5,65
1;2;fugitive;refugee;2,74;5,26;4;4,68;4,29;3,86
1;2;regeneration;rehabilitation;6;5;6,35;5,24;4,24;5,26
1;2;regeneration;restoration;6;5;6,35;5,8;3,76;6,26
1;2;record;register;5,89;3,3;5,5;5,43;3,14;5,29
1;2;cure;ordinance;7,81;4,5;5,45;4,75;3,95;4,67
1;2;ordinance;remedy;4,75;3,95;4,67;6,62;4,33;6,82
1;2;replacement;substitution;5,45;4,24;4,84;4,95;3,24;5,6
1;2;performance;representation;6,2;5,61;6,95;4,86;4,36;5,8
1;2;concert;representation;7;5,17;5,4;4,86;4,36;5,8
1;3;resistance;stamina;3,74;5,23;3,92;6,55;4,62;6,33
1;2;overhaul;restoration;5,23;3,92;6,21;5,8;3,76;6,26
1;4;certainty;safety;6,38;4,35;6,05;7,14;3,8;6,47
1;4;certainty;security;6,38;4,35;6,05;6,41;4,19;6
1;5;lonely;singular;2,67;4,37;3,33;4,89;3,12;5,24
1;4;floor;soil;5,14;3,33;6,39;5,21;2,76;5,18
2;3;saltwater;seawater;4,71;3,58;4,26;5,95;3;4,48
1;2;rescue;salvage;7,04;5;5,94;5,16;4,57;5,74
2;4;seed;semen;6,38;3,68;5,19;3,85;5;4,16
3;4;boat;ship;6,36;4,05;5,59;6,14;3,94;5,84
2;4;shop;trade;5,89;4,76;5,72;5,91;4,45;6,26
1;2;emporium;mall;5,25;4,17;6,05;4,45;5,3;6
1;3;elevator;silo;5,95;3,65;4,92;4,59;2,9;4,83
3;4;say;speak;5,91;4,43;6,88;5,91;4,19;5,89
3;4;speak;tell;5,91;4,19;5,89;5,27;3,86;4,94
3;4;say;talk;5,91;4,43;6,88;6,64;3,38;6,44
3;4;talk;tell;6,64;3,38;6,44;5,27;3,86;4,94
1;2;chat;say;5,75;4,27;6,22;5,91;4,43;6,88
1;2;chat;tell;5,75;4,27;6,22;5,27;3,86;4,94
3;4;sleep;slumber;7,22;3,6;5,3;6,24;2,73;5,08
1;2;sleep;temple;7,22;3,6;5,3;5,3;3,36;5,84
1;2;slumber;temple;6,24;2,73;5,08;5,3;3,36;5,84
1;2;firm;society;5,36;4,3;6,58;5,24;4,55;6,32
1;2;corporation;society;3,82;4,73;4,47;5,24;4,55;6,32
1;2;enterprise;society;6;4;5,65;5,24;4,55;6,32
1;2;company;society;5,64;3,29;5;5,24;4,55;6,32
1;2;society;venture;5,24;4,55;6,32;5,33;5,55;6,08
1;2;concern;society;5,05;4,7;5,55;5,24;4,55;6,32
1;2;partnership;society;6,5;3,73;6,33;5,24;4,55;6,32
1;2;bottom;soil;3,61;3,19;3,44;5,21;2,76;5,18
1;2;formation;training;5,58;4;5;5,19;4,1;6,26
2;6;dull;simple;3,4;1,67;4,71;7,17;2,71;6,5
2;6;dull;fool;3,4;1,67;4,71;3,56;4,86;2,94
2;6;chump;dull;4,1;3,95;4,05;3,4;1,67;4,71
2;6;dull;idiot;3,4;1,67;4,71;3,03;4,85;4,2
2;6;dull;simpleton;3,4;1,67;4,71;4,53;3,18;4,11
2;6;simple;stupid;7,17;2,71;6,5;2,84;4,34;4,03
2;6;chump;stupid;4,1;3,95;4,05;2,84;4,34;4,03
2;6;idiot;stupid;3,03;4,85;4,2;2,84;4,34;4,03
2;6;simpleton;stupid;4,53;3,18;4,11;2,84;4,34;4,03
2;6;silly;simple;6,72;4,86;6,5;7,17;2,71;6,5
2;6;chump;silly;4,1;3,95;4,05;6,72;4,86;6,5
2;6;idiot;silly;3,03;4,85;4,2;6,72;4,86;6,5
