FamilyWeight;LanguageWeight;from_word;to_word
1;2;financial market;money market
1;2;corporation;house
1;2;enterprise;house
1;2;company;house
1;2;house;venture
1;2;concern;house
1;2;house;partnership
1;2;corporation;establishment
1;2;enterprise;establishment
1;2;company;establishment
1;2;establishment;venture
1;2;concern;establishment
1;2;establishment;partnership
1;2;business firm;corporation
1;2;business firm;enterprise
1;2;business firm;company
1;2;business firm;venture
1;2;business firm;concern
1;2;business firm;partnership
1;2;fishery;peach
1;2;blister;bubble
2;4;flora;plant life
1;2;floatation;flotation
2;2;flow;stream
2;2;flowing;stream
1;4;discharge;throughput
1;5;electric current;stream
1;2;running;stream
1;3;bloom;meal
1;3;blossom;meal
1;3;bloom;flour
1;3;blossom;flour
1;2;angiosperm;flowering plant
1;2;flowering plant;magnoliophyta
1;3;inland waterways transport;river transport
5;10;fog;mist
1;3;fog;nebula
1;4;fog;haze
1;3;foliage;verdure
1;3;foliage;greenery
2;3;food;foodstuff
2;4;footpath;path
1;6;forecast;prediction
1;6;foresight;prediction
1;6;prediction;prevision
1;3;forecast;prognosis
1;3;foresight;prognosis
1;3;prevision;prognosis
5;17;forest;wood
3;9;timber;wood
6;10;lesson;minimal lesson
6;10;lesson;short lesson
1;2;forestry;silviculture
2;2;forestry;forestry practice
2;2;freeze;frost
1;2;flammable;fuel
1;2;combustible;fuel
2;2;fume;vapour
3;9;fungus;mushroom
1;2;fungus;sponge
1;2;fungus;washing sponge
2;5;fur;fur coat
1;2;fur;skin
3;8;furnace;stove
4;13;furnace;oven
1;2;moving;piece of furniture
1;2;article of furniture;moving
1;2;mobile;mobile phone
1;2;mobile;mobile telephone
1;2;cell phone;mobile
1;2;cellphone;mobile
1;2;cellular phone;mobile
1;2;handphone;mobile
1;2;cellular mobile;mobile
1;2;cellular telephone;mobile
2;2;garden;orchard
1;2;genetic;genetics
1;2;genetics;genic
1;2;geophysical;geophysics
2;3;geotechnics;geotechnology
1;2;germ;sprout
1;3;bud;grass
1;3;cannabis;grass
1;3;grass;marihuana
1;3;ganja;grass
1;3;grass;mary jane
1;3;grass;pot
1;3;grass;reefer
1;2;gravel;stone
2;5;green vegetable;vegetable
2;2;gross domestic product;gross national product
