WordWeight;FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
5;4;5;twist (around);crooked;0,375;0,469;0,337;0,146;0,594;0,305
8;5;8;twist (around);fold;0,375;0,469;0,337;0,385;0,412;0,33
15;11;13;rise (move upwards);stand;0,667;0,593;0,745;0,6;0,324;0,509
15;6;15;rise (move upwards);grow;0,667;0,593;0,745;0,914;0,615;0,755
75;28;70;rise (move upwards);climb;0,667;0,593;0,745;0,615;0,66;0,604
3;3;3;rise (move upwards);land (descend);0,667;0,593;0,745;0,582;0,26;0,616
20;7;17;rise (move upwards);lift;0,667;0,593;0,745;0,704;0,518;0,656
5;3;5;rise (move upwards);fly (move through air);0,667;0,593;0,745;0,76;0,775;0,676
6;6;6;rise (move upwards);ride;0,667;0,593;0,745;0,806;0,465;0,472
4;3;4;rise (move upwards);jump;0,667;0,593;0,745;0,625;0,865;0,611
10;3;10;rise (move upwards);leave;0,667;0,593;0,745;0,375;0,315;0,295
10;6;10;lift;carry;0,704;0,518;0,656;0,635;0,38;0,5
3;3;3;lift;get;0,704;0,518;0,656;0,74;0,594;0,667
14;6;14;lift;take;0,704;0,518;0,656;0,828;0,537;0,348
13;6;13;lift;build;0,704;0,518;0,656;0,771;0,546;0,806
3;3;3;lift;stretch;0,704;0,518;0,656;0,604;0,578;0,5
3;3;3;lift;put;0,704;0,518;0,656;0,52;0,398;0,51
5;3;5;lift;weigh;0,704;0,518;0,656;0,333;0,396;0,375
44;15;41;fall;tumble (fall down);0,177;0,657;0,221;0,276;0,556;0,272
7;3;7;fall;eat;0,177;0,657;0,221;0,731;0,5;0,464
3;3;3;fall;cut;0,177;0,657;0,221;0,49;0,49;0,393
3;3;3;fall;climb;0,177;0,657;0,221;0,615;0,66;0,604
8;4;8;fall;drip (emit liquid);0,177;0,657;0,221;0,392;0,193;0,175
21;3;21;fall;drop;0,177;0,657;0,221;0,479;0,321;0,291
9;6;8;fall;sink (descend);0,177;0,657;0,221;0,375;0,439;0,322
4;4;4;fall;kill;0,177;0,657;0,221;0,052;0,941;0,736
56;14;54;fall;drop (something);0,177;0,657;0,221;0,479;0,321;0,291
3;3;3;fall;slip;0,177;0,657;0,221;0,316;0,714;0,321
3;3;3;fall;land (descend);0,177;0,657;0,221;0,582;0,26;0,616
8;3;8;fall;go;0,177;0,657;0,221;0,51;0,441;0,444
13;4;11;drip (emit liquid);pour;0,392;0,193;0,175;0,448;0,57;0,375
34;15;32;drip (emit liquid);dribble;0,392;0,193;0,175;0,417;0,551;0,465
25;7;25;drip (emit liquid);drop (something);0,392;0,193;0,175;0,479;0,321;0,291
18;6;17;drip (emit liquid);flow;0,392;0,193;0,175;0,696;0,316;0,464
51;17;49;throw;shoot;0,344;0,77;0,623;0,092;0,926;0,625
6;3;6;throw;drop (something);0,344;0,77;0,623;0,479;0,321;0,291
7;5;7;throw;pour;0,344;0,77;0,623;0,448;0,57;0,375
4;3;4;throw;pull;0,344;0,77;0,623;0,45;0,685;0,473
3;3;3;throw;eat;0,344;0,77;0,623;0,731;0,5;0,464
5;3;3;throw;put;0,344;0,77;0,623;0,52;0,398;0,51
6;6;6;throw;divorce;0,344;0,77;0,623;0,042;0,7;0,385
3;3;3;throw;strike or beat;0,344;0,77;0,623;0,275;0,729;0,5315
5;4;5;throw;misplace;0,344;0,77;0,623;0,229;0,461;0,191
95;13;88;shake;shiver;0,439;0,689;0,539;0,26;0,765;0,236
7;6;7;shake;swing (movement);0,439;0,689;0,539;0,602;0,51;0,481
8;5;8;shake;mix;0,439;0,689;0,539;0,542;0,49;0,472
44;10;40;shake;jog (something);0,439;0,689;0,539;0,51;0,708;0,519
10;6;10;shake;swing (something);0,439;0,689;0,539;0,602;0,51;0,481
3;3;3;shake;sway;0,439;0,689;0,539;0,69;0,596;0,721
15;8;13;flow;go;0,696;0,316;0,464;0,51;0,441;0,444
4;3;4;flow;blow (of wind);0,696;0,316;0,464;0,316;0,75;0,57
37;12;34;flow;run;0,696;0,316;0,464;0,542;0,787;0,543
4;3;4;flow;come;0,696;0,316;0,464;0,529;0,269;0,558
15;9;14;flow;walk;0,696;0,316;0,464;0,643;0,412;0,45
