WordWeight;FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
8;4;8;go;enter;6,32;4,86;5,33;6,09;4,3;6,79
8;3;7;go;fly (move through air);6,32;4,86;5,33;6,06;4,9;5,28
42;14;40;go;drive;6,32;4,86;5,33;6,5;4,19;5,67
3;3;3;go;say;6,32;4,86;5,33;5,91;4,43;6,88
3;3;3;go;bone;6,32;4,86;5,33;5,24;4,75;6
4;3;4;go;lead (guide);6,32;4,86;5,33;5,56;3,95;5,22
10;8;9;go;move (oneself);6,32;4,86;5,33;4,95;4,24;5,12
8;3;8;go;step (verb);6,32;4,86;5,33;5,68;3,48;6
8;3;8;go;pass;6,32;4,86;5,33;5,73;4,38;4,78
17;9;17;climb;ride;5,62;3,95;5,61;6,27;5,1;5,28
8;4;8;climb;crawl or creep;5,62;3,95;5,61;3,45;4,2;4,79
6;4;6;climb;creep;5,62;3,95;5,61;2,95;4,78;4,63
95;20;84;come;arrive;5,64;3,57;5,94;6,41;5;6,84
5;3;5;come;dog;5,64;3,57;5,94;7;5,43;5,73
8;5;8;come;enter;5,64;3,57;5,94;6,09;4,3;6,79
3;3;3;come;see;5,64;3,57;5,94;6,27;3,9;6
6;4;5;come;say;5,64;3,57;5,94;5,91;4,43;6,88
6;3;6;come;give;5,64;3,57;5,94;7,73;4,57;5,72
7;3;7;come;bring;5,64;3,57;5,94;5,68;4,29;5,72
8;6;6;come;approach;5,64;3,57;5,94;5,45;4,48;6,03
12;4;12;come;get;5,64;3,57;5,94;6,09;3,67;5,65
5;3;5;come;shoot;5,64;3,57;5,94;3,5;6;4,67
5;4;5;come;become;5,64;3,57;5,94;6,32;3,43;6,18
6;4;6;leave;flee;4,68;4,48;5,47;3,84;4,95;5
7;5;6;leave;retreat;4,68;4,48;5,47;4,92;4,12;4,68
7;4;7;leave;disappear;4,68;4,48;5,47;4,1;4,35;5,42
4;3;4;leave;seize;4,68;4,48;5,47;3,79;4,06;5,18
5;4;5;leave;divide;4,68;4,48;5,47;4,78;4,62;4,91
6;4;6;leave;divorce;4,68;4,48;5,47;2,49;5,39;4,02
6;4;6;leave;separate;4,68;4,48;5,47;3,95;3,91;4,14
12;4;12;leave;drive;4,68;4,48;5,47;6,5;4,19;5,67
5;3;5;leave;pass;4,68;4,48;5,47;5,73;4,38;4,78
58;16;52;disappear;misplace;4,1;4,35;5,42;3,15;4,83;4,14
6;4;6;disappear;cease;4,1;4,35;5,42;3,95;3,64;5,17
3;3;3;disappear;be dead or die;4,1;4,35;5,42;1,67;6,9;3,28
3;3;3;disappear;hide (conceal);4,1;4,35;5,42;4,9;3,52;4,85
4;4;4;disappear;flee;4,1;4,35;5,42;3,84;4,95;5
3;3;3;disappear;set (heavenly bodies);4,1;4,35;5,42;5,23;3,1;5,81
48;13;44;flee;escape;3,84;4,95;5;5,5;4,55;5,44
38;24;34;flee;retreat;3,84;4,95;5;4,92;4,12;4,68
4;4;4;flee;hide (conceal);3,84;4,95;5;4,9;3,52;4,85
52;23;49;follow;pursue;4,82;3,76;4,81;5,39;4,45;6,12
7;6;7;follow;obey;4,82;3,76;4,81;5,13;4,1;4,43
4;4;4;follow;arrive;4,82;3,76;4,81;6,41;5;6,84
7;4;7;follow;imitate;4,82;3,76;4,81;5,44;3,95;5,04
15;7;14;follow;hunt;4,82;3,76;4,81;3,84;5,1;5,3
