Word,Word_changed,Valence,Arousal,Dominance,inWKB
thin (of hair and thread),thin,5.47,4.5,5.33,1
thin (of hair and leaf),thin,5.47,4.5,5.33,1
think (reflect),think,6.68,3.75,6.5,1
think (believe),think,6.68,3.75,6.5,1
thither (there to),thither,0.5,0.27,0.316,0
thunder (verb),thunder,5.74,5.75,3.9,1
tin (metal),tin,4.95,2.73,5.54,1
tip (of tongue),tip,6.77,4.05,5.84,1
tip (of object),tip,6.77,4.05,5.84,1
tone (music),tone,5.47,3.67,5.18,1
trap (pitfall),trap,3.24,4.36,3.78,1
trap (catch),trap,3.24,4.36,3.78,1
tree (classifier),tree,7.59,2.67,5.62,1
tumble (fall down),tumble,5.65,4.9,4.52,1
turn (something),turn,5.45,3.48,5.88,1
twist (around),twist,4.61,4.27,5.95,1
twist (together),twist,4.61,4.27,5.95,1
uncle (husband of father's sister),uncle,6.5,4.05,5.24,1
urge (someone),urge,5.11,5.29,4.5,1
use (verb),use,5.18,4.19,5,1
wait (for),wait,4.55,3.62,5.31,1
walk (classifier),walk,6.77,3.24,5.83,1
walk (manner),walk,6.77,3.24,5.83,1
walk (take a walk),walk,6.77,3.24,5.83,1
wall (of house),wall,5.06,2.9,4.22,1
warm (of weather),warm,7.5,3.35,6.33,1
wash (oneself),wash,6,3.7,6.53,1
wash (clothes),wash,6,3.7,6.53,1
wave (verb),wave,6.32,4.19,5.48,1
wear (on head),wear,6.36,3.33,5.72,1
white (of eggs),white,6.18,3.35,5.71,1
work (labour),work,5.05,4.33,6.12,1
work (activity),work,5.05,4.33,6.12,1
yearling (horse),yearling,0.51,0.348,0.518,0
