Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
to show;5,14200393205528;3,60528522494291;5,66854447210906;5,06950378753885;3,73866220086039;5,59802547588161;5,14184819444879;3,60705792740445;5,65860893453288;NA;NA;NA
to placate;5,03729594956597;3,97387860143753;5,1588358270621;5,01818193775158;3,9545220806984;5,13089913549154;4,99006484868516;3,95865066642268;5,14788186379074;NA;NA;NA
to pick up;5,14086569949739;3,47006451067566;5,67319040421222;5,10458696464881;3,55421679406889;5,63088978345056;5,15805720250459;3,46096521160045;5,66620558152694;NA;NA;NA
to pick out;5,91176141893083;3,83489115855588;6,44897869822564;5,82249872700285;3,90469173982203;6,41175047341922;5,97788918535745;3,81107104294374;6,42658259590909;NA;NA;NA
to peruse;4,89054781599958;4,27632582074118;5,36674572103979;4,84119008246105;4,29450084915912;5,3522623277308;4,86403638646553;4,29635849233317;5,3438637180874;NA;NA;NA
to perturb;3,61147824085812;4,6227249007097;4,27283501469344;3,6011958497709;4,62959271206077;4,27459711849736;3,61291672253594;4,62287036840499;4,26623610656153;NA;NA;NA
to pay off;4,86587293688707;4,66078438670889;4,9433275740332;4,82255102613337;4,66377117458298;4,90866719394296;4,90261484084907;4,67887706710828;4,95672101084465;NA;NA;NA
to pay attention;4,589018891075;4,45655448548596;5,03602425587171;4,51742441025331;4,48221461057025;4,98179202391893;4,58884543275155;4,46543678210034;5,02809864380018;NA;NA;NA
to pay;5,19263157894737;4,19105263157895;5,49526315789474;4,79631578947368;4,16105263157895;5,18894736842105;5,155;4,19375;5,46;NA;NA;NA
to own;5,38038169984436;3,87325825315455;5,59266280080127;5,31886864857443;3,95199663299775;5,53505745696444;5,32597710246088;3,92983883182938;5,56473308977645;NA;NA;NA
to overawe;3,81174790185833;4,56063631800797;4,43601117496282;3,79811642284913;4,56970659520837;4,43576813827673;3,81221725207601;4,56245224265596;4,42930425259536;NA;NA;NA
